Country,QuarterlyChange_people_fully_vaccinated,QuarterlyChange_total_cases,QuarterlyChange_total_deaths,YearlyChange_people_fully_vaccinated,YearlyChange_total_cases,YearlyChange_total_deaths,vaccinated_rate,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,YearlyChange_people_fully_vaccinatedRank,YearlyChange_total_casesRank,YearlyChange_total_deathsRank,vaccinated_rateRank
European Union,0.06511962122397197,0.21933050149154232,0.09698396564956746,-0.999997444479012,-0.7020655401189768,-0.8540894494812059,0.6710467632079762,181,180,147,231,134,95,46
Faeroe Islands,0.05417058205737657,0.0,0.0,0.0,0.0,0.0,0.7775671212769861,187,6,30,21,183,199,16
Falkland Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.5031179138321995,235,11,29,20,196,173,107
Fiji,0.3611675925447637,0.029065323481567207,0.11538461538461542,0.0,-0.9208777305224004,inf,0.642069600254292,102,84,154,19,70,236,63
Finland,0.16799424089659243,0.3178054707810558,0.23725671918442992,0.0,-0.7224573193012074,-0.5296783764577202,0.7260855953677131,141,194,191,18,129,149,33
France,0.05738038588103356,0.09464457500026735,0.022456032824284433,0.0,-0.8750072784786899,-0.9531505227566041,0.6959655632088633,186,130,86,17,92,52,40
French Polynesia,0.10716424155418802,0.0,0.0,0.0,0.0,0.0,0.5432054195247298,161,36,1,16,184,172,99
Gabon,0.4299292887886863,0.23833526778312053,0.5,0.0,-0.7714092746816067,-0.40740740740740744,0.04898392990435,88,184,217,15,120,160,201
Gambia,0.2959700442475304,0.005536541171733411,0.01183431952662728,0.0,-0.9873512353615693,-0.9642083994804443,0.08962430491805784,110,49,61,14,21,40,190
Georgia,0.2501780490347669,0.3794884928843154,0.34741784037558676,0.0,0.5881796995224791,-0.31635373908810316,0.2500903946029083,121,201,205,13,225,166,158
Germany,0.05991894504282902,0.3971417809396871,0.08620818438883848,-0.9999880645453504,-0.36740311363008016,-0.931934652117313,0.6788575596911727,185,203,137,228,168,62,44
Ghana,0.11088028912102987,0.026968513201863775,0.045847750865051884,0.0,-0.9587542601200916,-0.9623554006377638,0.02654171192048639,158,77,109,12,39,42,209
Gibraltar,0.00517506879054852,0.0,0.0,0.0,0.0,0.0,1.1818586566145262,216,28,33,11,212,216,1
Greece,0.07461777804773395,0.4317631109830169,0.22450768815753985,0.0,-0.5197790116871178,-0.6663077740994845,0.6346162913819033,174,211,188,10,156,134,67
